id,political,not_political,title,message,created_at,updated_at,target_region,target_gender,target_interest,target_minage,target_maxage,target_language,target_segment,target_retargeting,target_age,target_general_target,target_website,target_state,target_city
hyperfeed_story_id_5c9baaf769ba98873481098,0,0,Indivisible Guide,"<p>This election cycle, Indivisible is going big. Entire country, big. All 50 states, big. We are going to build a national grassroots movement with a home in every state so we can build long-term power to fight for a progressive vision e-v-e-r-y-w-h-e-r-e. We are hoping to raise $75,000 right now to kick off our plan and: get VAN access for our organizers in every state, support our data and organizing teams, and get more tools into the hands of Indivisible groups across the country.</p><p> Can you donate today to help us get to our goal? Your donation will allow us to democratize crucial tools used to win elections that so often live with political parties and candidates only (and get turned off the day after election day).</p>",2019-03-27 16:55:31.856571+00,2019-03-27 16:55:31.856571+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bab318e5ea7d09889833,0,0,Alexandria Ocasio-Cortez,"<p>Republicans and centrists are happy to throw away billions to tax cuts for the 1% and unethical wars, but they claim our Green New Deal would be impossible to fund. Here are the facts: the Green New Deal is actually an economic stimulus package that will cut carbon emissions and boost renewable energy through government investment in jobs, housing, and infrastructure. </p><p> The Green New Deal is great economic policy, but it’s also crucial to fighting climate change before it’s too late. Will you join Alexandria Ocasio-Cortez in fighting for a Green New Deal and our collective future? Donate to our campaign today.</p>",2019-03-27 16:56:26.744651+00,2019-03-27 16:56:26.744651+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb063c5a0e2b52099866,0,0,Planned Parenthood Action,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span> RED ALERT: The Trump administration just released its ""gag rule."" <span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span></p><p> This rule will put the health care of 4 million people at risk, including 1.6 million Planned Parenthood patients. </p><p> Donate immediately to fight these dangerous attacks on reproductive health and rights.</p>",2019-03-27 17:18:56.866747+00,2019-03-27 17:18:56.866747+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb633c85130170208714,0,0,Indivisible Guide,"<p>This election cycle, Indivisible is going big. Entire country, big. All 50 states, big. We are going to build a national grassroots movement with a home in every state so we can build long-term power to fight for a progressive vision e-v-e-r-y-w-h-e-r-e. We are hoping to raise $75,000 right now to kick off our plan and: get VAN access for our organizers in every state, support our data and organizing teams, and get more tools into the hands of Indivisible groups across the country.</p><p> Can you donate today to help us get to our goal? Your donation will allow us to democratize crucial tools used to win elections that so often live with political parties and candidates only (and get turned off the day after election day).</p>",2019-03-27 17:45:08.652237+00,2019-03-27 17:45:08.652237+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bab9995fc44632955866,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 16:58:14.389979+00,2019-03-27 16:58:14.389979+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bac6070e412a94110010,0,0,Planned Parenthood Action,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span> RED ALERT: The Trump administration just released its ""gag rule."" <span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span></p><p> This rule will put the health care of 4 million people at risk, including 1.6 million Planned Parenthood patients. </p><p> Donate immediately to fight these dangerous attacks on reproductive health and rights.</p>",2019-03-27 17:01:37.360597+00,2019-03-27 17:01:37.360597+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bad0502e7f8d95788329,0,0,American Medical Association (AMA),<p>Click below to see how the AMA and its members are driving the future of medicine:</p>,2019-03-27 17:04:18.516089+00,2019-03-27 17:04:18.516089+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bad188794b1047754744,0,0,Senator Ron Wyden,<p>Donald Trump is determined to bury the truth. We can’t let him. Sign the petition: Release the full Mueller report.</p>,2019-03-27 17:05:01.838754+00,2019-03-27 17:05:01.838754+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bad5546bf30543304460,0,0,Alexandria Ocasio-Cortez,"<p>Wow. Wealthy Republican donors are doing everything they can to attack our progressive agenda because they’re afraid of what we can do. A notorious Republican lawyer with ties to multiple Trump affiliated super PACs just founded a new hybrid super PAC called the “Stop the AOC PAC”.</p><p> They’re not going to win. Our campaign has been dedicated to passing progressive legislation like a Green New Deal, Medicare for All, and criminal justice reform -- and we’ve already seen tons of momentum. Join our fight for social, racial, economic, and environmental justice with a $3 contribution today!</p>",2019-03-27 17:05:34.787705+00,2019-03-27 17:05:34.787705+00,"","","","","","","","","","","","",""
6080749942376,7,5,PRI Public Radio International,"<p>Intimate stories from the people affected by DACA, a federal program that has given many a lifeline as they start their adult lives.</p>",2018-02-09 14:00:09.265884+00,2018-03-20 18:17:02.249925+00,the United States,"","",18,"","",US politics (liberal),"",18 and older,"","","",""
23843267430160083,0,0,BOLD PAC,"<p>Donald Trump HATES anybody that tells the truth about him — that’s why he jumps at every chance to ATTACK reputable news outlets like MSNBC. Americans rely on the free press for fair and accurate news, but Trump would rather feed Americans lies through his propaganda machine (FOX News!!) If voters fall for his deception, we may NEVER end his presidency. So we need to know what news sources top Democrats like you rely on. </p><p> Take our 1-click poll now &gt;&gt;</p>",2019-03-27 17:12:16.907954+00,2019-03-27 17:12:16.907954+00,the United States,"","",18,"","","",people who may be similar to their customers,18 and older,"","","",""
hyperfeed_story_id_5c9bb1a8bd1219f14600380,0,0,Oxfam,"<p>She is one of 24.1 million people in Yemen who need urgent humanitarian assistance.</p><p> And right now, YOU have the opportunity to help children like her: Renew your Oxfam membership before 3/31 to help those who need food, shelter and emergency supplies around the world.</p>",2019-03-27 17:24:07.339956+00,2019-03-27 17:24:07.339956+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb1b01dfd95d06477463,0,0,Jay Inslee,"<p>The rules are clear: To get on the debate stage, we need 65,000 grassroots donors. Jay’s ready to make climate change front and center at the debates but to get there he needs your support. Any amount really helps: Chip in $1 today!</p>",2019-03-27 17:24:16.049142+00,2019-03-27 17:24:16.049142+00,"","","","","","","","","","","","",""
23843047113450081,0,0,Secure Financial Advisory Group,"<div class=""mbs _6m6 _2cnj _5s6c""><a href=""https://meangold.com/bonus/"">How Republican Am I? Take The Simple Quiz</a></div>",2018-10-29 00:49:48.487444+00,2018-10-30 18:58:22.182822+00,the United States,"","",59,"",English (US),"","",59 and older,"","","",""
hyperfeed_story_id_5c9bae749cdd03c06714233,0,0,Planned Parenthood Action,"<p>Trump’s gag rule is an attempt to take away our rights. Period.</p><p> We're looking for 1,958 more people to sign our petition before 3/31, but you still haven't added your name. Sign now and demand an end to the Trump-Pence administration's dangerous new policy.</p>",2019-03-27 17:15:14.309907+00,2019-03-27 17:15:14.309907+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb178313387c50999900,0,0,The Wall Street Journal,"<p>Over 1,000 companies, including Amazon, JPMorgan and Walmart, have disclosed how they compensate workers. Find out where your pay stands.</p>",2019-03-27 17:23:22.110402+00,2019-03-27 17:23:22.110402+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb21383aec2f39840349,0,0,Alexandria Ocasio-Cortez,"<p>Wow. Wealthy Republican donors are doing everything they can to attack our progressive agenda because they’re afraid of what we can do. A notorious Republican lawyer with ties to multiple Trump affiliated super PACs just founded a new hybrid super PAC called the “Stop the AOC PAC”.</p><p> They’re not going to win. Our campaign has been dedicated to passing progressive legislation like a Green New Deal, Medicare for All, and criminal justice reform -- and we’ve already seen tons of momentum. Join our fight for social, racial, economic, and environmental justice with a $3 contribution today!</p>",2019-03-27 17:25:52.442871+00,2019-03-27 17:25:52.442871+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb51279c646d23528209,0,0,Amy Klobuchar,"<p>Amy Klobuchar’s first ever presidential FEC deadline is almost here and we need YOUR support. This campaign is powered by grassroots supporters -- not corporate PACs or a big political machine. Donate $1 today to become a Founding Donor of Amy’s campaign! <a href=""https://bit.ly/2TmMSEZ"">http://bit.ly/2TmMSEZ</a></p>",2019-03-27 17:40:10.893384+00,2019-03-27 17:40:10.893384+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb12659edf6684660785,0,0,The Wilderness Society,<p>Say No to Offshore Drilling on the East Coast.</p>,2019-03-27 17:28:01.841825+00,2019-03-27 17:28:01.841825+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb2bc9a1659016718777,0,0,Bernie Sanders,"<p>In just a moment, we are going to ask you to make a contribution to our campaign. Here’s why this request is so important:</p><p> On Sunday at midnight, we close the books on our first official fundraising deadline of the campaign. When it ends, we’re going to report not just how much money we’ve raised, but how many individual donations we’ve received. </p><p> And we are trying to generate as many individual donations as we possibly can. Each one matters. A lot. Because each one sends a p<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show"">owerful message that we are the best grassroots campaign to take on Trump.</span></p><p> So please, contribute before it’s too late. Become a Founding Donor to our campaign today.</p>",2019-03-27 17:28:39.047692+00,2019-03-27 17:28:39.047692+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb2efc18725e56243052,0,0,Alexandria Ocasio-Cortez,"<p>AOC is being directly targeted by a wealthy Republican lawyer with ties to multiple Trump affiliated super PACs. The formation of the “Stop the AOC PAC” and other PACs like these erode American democracy and allow moneyed interests to buy influence in our politics. We have a simple message for this PAC, and anyone who wants to try and stop our efforts to save the world from catastrophic climate disaster: </p><p> Bring it on. </p><p> We have the power to fight back. Our campaign relies on people power and your donations are critical to advancing our progressive agenda in Washington. Chip in to bolster our message &gt;&gt;</p>",2019-03-27 17:30:12.153221+00,2019-03-27 17:30:12.153221+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb2f1c5fe60e89276119,0,0,Planned Parenthood Action,"<p>The Trump administration's latest attack: a ""gag rule.""</p><p> Make an emergency gift – fight these dangerous attacks on essential reproductive health care and rights <span class=""_5mfr""><span class=""_6qdm"">✊</span></span></p>",2019-03-27 17:30:23.00597+00,2019-03-27 17:30:23.00597+00,"","","","","","","","","","","","",""
23842930886360741,4,1,Great Public Schools for US,"<div class=""mbs _5pbx"" id=""js_26"">We're fighting for a robust public education system  in order to create stronger...</div>",2018-11-29 06:23:22.075256+00,2019-01-02 21:20:22.33447+00,the United States,"",Education,18,"","","","",18 and older,"","","",""
hyperfeed_story_id_5c9bb69ed4f517262761124,0,0,Planned Parenthood Action,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span> RED ALERT: The Trump administration just released its ""gag rule."" <span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span></p><p> This rule will put the health care of 4 million people at risk, including 1.6 million Planned Parenthood patients. </p><p> Donate immediately to fight these dangerous attacks on reproductive health and rights.</p>",2019-03-27 17:45:28.46517+00,2019-03-27 17:45:28.46517+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb7467e9293181762729,0,0,ACLU,"<p>We’re launching a new effort to engage presidential candidates on civil rights and liberties –– and move them to take strong, specific stances on the issues that impact our lives. </p><p> RSVP for our Rights for All kickoff livestream to learn how you can help get candidates on the record.</p>",2019-03-27 17:48:01.93352+00,2019-03-27 17:48:01.93352+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb7c451aa16f80344292,0,0,Jaime Harrison for U.S. Senate Exploratory Committee,"<p>Lindsey Graham is wrong for South Carolina. Instead of fighting for South Carolinians, he spends his days doing FOX News interviews and pushing Trump’s HATEFUL agenda. His time is done -- and we need to know if you agree. </p><p> Tell us → Do YOU approve of Lindsey Graham?</p>",2019-03-27 17:50:01.00978+00,2019-03-27 17:50:01.00978+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb764458626b72290727,0,0,Alexandria Ocasio-Cortez,"<p>Alexandria Ocasio-Cortez has only been in Congress for a few months, but she’s already co-sponsoring one of the most important bills we’ve seen in years. The Green New Deal is critical to addressing climate change with the urgency and scale this crisis demands. The devastating effects of climate change will impact everyone, but they will hit historically marginalized communities especially hard. </p><p> The Green New Deal is not just about climate justice, but social and economic ju<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show"">stice as well. That’s why we’re calling for Medicare for All, a universal jobs guarantee, affordable housing, and clean water for every community to be included in any climate legislation to ensure that our most vulnerable communities are not left behind. Alexandria is committed to fighting for real change for all Americans - can you chip in today to bring us one step closer to the Green New Deal?</span></p>",2019-03-27 17:49:54.292098+00,2019-03-27 17:49:54.292098+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb7b56cec50f11092359,0,0,USA for UNHCR,"<p>This winter, join Ben Stiller in providing refugee families the tools they need to survive freezing temperatures. From mobile gas heaters to thermal blankets, these Survival Kits can mean the difference between life and death for families around the world.</p>",2019-03-27 17:50:22.333816+00,2019-03-27 17:50:22.333816+00,"","","","","","","","","","","","",""
6097228149803,4,1,The Christian Left,"<p>Human Rights Are Not Optional</p><p> Available in Men &amp; Women's t-Shirts, Long Sleeve, V-Neck, Hoodies, Sweatshirts, Stickers, and Coffee Mugs</p><p> Various colors are available for each item. Click on the color boxes you see near the shirt or item. Get Yours Here: <a href=""https://teespring.com/tcl-rights"">https://teespring.com/tcl-rights</a></p><p></p>",2018-09-13 20:49:05.093272+00,2018-09-14 09:36:47.814209+00,the United States,"","",18,"","","","",18 and older,Like,"","",""
hyperfeed_story_id_5c9bb8024b12a2a79016058,0,0,Alexandria Ocasio-Cortez,"<p>Republicans and centrists are happy to throw away billions to tax cuts for the 1% and unethical wars, but they claim our Green New Deal would be impossible to fund. Here are the facts: the Green New Deal is actually an economic stimulus package that will cut carbon emissions and boost renewable energy through government investment in jobs, housing, and infrastructure. </p><p> The Green New Deal is great economic policy, but it’s also crucial to fighting climate change before it’s too late. Will you join Alexandria Ocasio-Cortez in fighting for a Green New Deal and our collective future? Donate to our campaign today.</p>",2019-03-27 17:51:12.791161+00,2019-03-27 17:51:12.791161+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb7f41dfa81424201240,0,0,Healthcare Education Project,<p>Keep community hospitals &amp; ERs open. Tell New York State to fight $1 billion in proposed healthcare cuts. Call 646-571-0156.</p>,2019-03-27 17:51:23.994799+00,2019-03-27 17:51:23.994799+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb817a271b1337797186,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 17:51:32.081476+00,2019-03-27 17:51:32.081476+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb82a409c07c47914204,0,0,UNICEF USA,"<p>UNICEF is moving quickly to respond to the impact of <a class=""_58cn""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">CycloneIdai</span></span></a>. Please, donate now to support emergency relief efforts in Mozambique, Malawi and Zimbabwe.</p>",2019-03-27 17:51:45.122205+00,2019-03-27 17:51:45.122205+00,"","","","","","","","","","","","",""
23843002205740746,5,0,Angie Craig,"<p>NEW POLL: Our opponent just released a poll giving him a 1-POINT ADVANTAGE over us in <a class=""_58cn""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">MN02</span></span></a>. Cook Political Report is calling this race a TOSS-UP and Nate Silver says it could come down a handful of votes. Chip in right now to help us reach more voters so we can win this nail-biter election in #MN02 and take back the House.</p>",2018-09-13 20:44:50.468177+00,2018-09-13 22:23:49.068212+00,Minnesota,"","",18,"","",US politics (very liberal),"",18 and older,"","","",""
23842682086030117,0,1,Planned Parenthood,"<p>We stock restrooms with free toilet paper, so why not menstrual products? Sign if you think schools should provide menstrual products for free!</p>",2017-12-23 20:22:23.687834+00,2017-12-25 03:12:23.987921+00,the United States,"","",15,29,"",Multicultural affinity: African American (US).,"",15 to 29,"","","",""
hyperfeed_story_id_5c9bb7ffb7c8e0337495044,0,0,UNICEF USA,"<p>UNICEF is moving quickly to respond to the impact of <a class=""_58cn""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">CycloneIdai</span></span></a>. Please, donate now to support emergency relief efforts in Mozambique, Malawi and Zimbabwe.</p>",2019-03-27 17:52:03.059016+00,2019-03-27 17:52:03.059016+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb8b2b05a38497963348,0,0,UNICEF USA,"<p>UNICEF is moving quickly to respond to the impact of <a class=""_58cn"" href=""https://www.facebook.com/hashtag/cycloneidai""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">CycloneIdai</span></span></a>. Please, donate now to support emergency relief efforts in Mozambique, Malawi and Zimbabwe.</p>",2019-03-27 17:54:25.515813+00,2019-03-27 17:54:25.515813+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb5fa8ccc64126694459,0,0,Planned Parenthood Action,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span> RED ALERT: The Trump administration just released its ""gag rule."" <span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span></p><p> This rule will put the health care of 4 million people at risk, including 1.6 million Planned Parenthood patients. </p><p> Donate immediately to fight these dangerous attacks on reproductive health and rights.</p>",2019-03-27 17:42:29.610058+00,2019-03-27 17:42:29.610058+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb5f14de1e4424376179,0,0,Planned Parenthood,"<p>Say it loud, say it proud: Our rights, our health care, Planned Parenthood health centers are here to stay.</p>",2019-03-27 17:42:29.575423+00,2019-03-27 17:42:29.575423+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb600a4a9d0a54814919,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 17:42:38.375503+00,2019-03-27 17:42:38.375503+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb5f9098769566624190,0,0,Friends of the Earth U.S.,"<p>WE CAN’T DENY IT ANY LONGER: Forest fires. Hurricanes. Drought. The climate crisis is here, and scientists say we’re running out of time to stop utter catastrophe. Friends of the Earth is pushing Congress and progressive champions like Rep. Alexandria Ocasio-Cortez to pass a strong Green New Deal that ends our dependence on fossil fuels – but we still need 650 more people to sign our petition before 11:59 p.m. TONIGHT, and we still don’t see your name. Tell Congress now: Take action to stop climate catastrophe!</p>",2019-03-27 17:42:31.174629+00,2019-03-27 17:42:31.174629+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba35eb1a963441212485,0,0,Save Our Monarchs Foundation,"<p>YOU can make a HUGE impact this Earth Day! Planting Milkweed is a great way to give back to Mother Earth. Your donation of $35 comes with 100 seed packs so it's EASY to get friends, family, your school or business involved in saving the Monarchs this Earth Day. Click the Donate Now button to order online.</p>",2019-03-27 16:23:05.621267+00,2019-03-27 16:23:05.621267+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb632049ad6892336493,0,0,Planned Parenthood,"<p>Say it loud, say it proud: Our rights, our health care, Planned Parenthood health centers are here to stay.</p>",2019-03-27 17:43:27.359763+00,2019-03-27 17:43:27.359763+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb632d234e3d72362798,0,0,Captain Mark Kelly,<p>Our campaign’s first ever FEC fundraising deadline is coming up. </p><p> This is our first chance to show our opponents and the deep-pocketed special interests in Washington that we are ready for anything they throw at us. Because this campaign is going to be powered by people like you chipping in a few dollars whenever you can.</p><p> Chip in today before our March 31st fundraising deadline.</p>,2019-03-27 17:43:27.370767+00,2019-03-27 17:43:27.370767+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba6249e92a1e02454220,0,0,The Wilderness Society Action Fund,"<p>Former oil lobbyist, David Bernhardt, is next in line for Secretary of the Department of the Interior. If this happens, our public lands will fall into the pocket of oil companies, and out of the hands of the public. Time to act!</p>",2019-03-27 16:34:59.258824+00,2019-03-27 16:34:59.258824+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba430b026c1953512686,0,0,Alexandria Ocasio-Cortez,"<p>Wow. Wealthy Republican donors are doing everything they can to attack our progressive agenda because they’re afraid of what we can do. A notorious Republican lawyer with ties to multiple Trump affiliated super PACs just founded a new hybrid super PAC called the “Stop the AOC PAC”.</p><p> They’re not going to win. Our campaign has been dedicated to passing progressive legislation like a Green New Deal, Medicare for All, and criminal justice reform -- and we’ve already seen tons of momentum. Join our fight for social, racial, economic, and environmental justice with a $3 contribution today!</p>",2019-03-27 16:26:33.632126+00,2019-03-27 16:26:33.632126+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba508420b25e13718683,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 16:30:45.108423+00,2019-03-27 16:30:45.108423+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba791177e38085114197,0,0,Consumer Protection Coalition,<p>Sign our open letter to askGovernor DeSantis to help stop the surge in our insurance costs.</p>,2019-03-27 16:41:05.465997+00,2019-03-27 16:41:05.465997+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba5448642c7395990027,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 16:31:31.179556+00,2019-03-27 16:31:31.179556+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb01e05d0d0a40420586,0,0,Planned Parenthood,"<p>Say it loud, say it proud: Our rights, our health care, Planned Parenthood health centers are here to stay.</p>",2019-03-27 17:17:29.581689+00,2019-03-27 17:17:29.581689+00,"","","","","","","","","","","","",""
23843098421410413,0,0,The Christian Broadcasting Network,<p>Receive Your Free Bumper Sticker</p>,2018-12-23 17:45:16.655496+00,2019-01-08 04:01:06.838896+00,the United States,"","",18,"","","",people who may be similar to their customers,18 and older,"","","",""
hyperfeed_story_id_5c9bb4823bb306939527479,0,0,Kamala Harris,"<p>I’ll be honest: we’ve set an ambitious goal for our first official FEC fundraising deadline on Sunday. We’ve done this because it’s going to take a lot of resources to run -- and win -- this race. We’re not doing it the easy way, either. We’re rejecting money from corporate PACs and federal lobbyists because it is important this is a grassroots movement with support from every corner of this country. Can we count on you to be part of it?</p>",2019-03-27 17:36:22.826046+00,2019-03-27 17:36:22.826046+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb497ba12f8f13333060,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 17:36:50.826557+00,2019-03-27 17:36:50.826557+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb60a34ead7899350222,0,0,Alexandria Ocasio-Cortez,"<p>AOC is being directly targeted by a wealthy Republican lawyer with ties to multiple Trump affiliated super PACs. The formation of the “Stop the AOC PAC” and other PACs like these erode American democracy and allow moneyed interests to buy influence in our politics. We have a simple message for this PAC, and anyone who wants to try and stop our efforts to save the world from catastrophic climate disaster: </p><p> Bring it on. </p><p> We have the power to fight back. Our campaign relies on people power and your donations are critical to advancing our progressive agenda in Washington. Chip in to bolster our message &gt;&gt;</p>",2019-03-27 17:44:52.282689+00,2019-03-27 17:44:52.282689+00,"","","","","","","","","","","","",""
